centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
all,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,17157,1286.7749999999971
all,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,17628,1322.1000000000024
all,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,17823,1336.724999999997
all,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,17865,1339.8750000000025
all,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,18041,1353.0749999999969
all,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,18464,1384.8000000000025
all,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,18685,1401.3749999999968
all,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,18682,1401.1500000000026
all,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,18683,1401.2249999999967
all,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,18812,1410.9000000000028
all,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,18503,1387.7250000000026
all,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,18553,1391.474999999997
all,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,18307,1373.0250000000026
all,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,18054,1354.0499999999968
all,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,18097,1357.2750000000026
all,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,17682,1326.149999999997
all,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,17440,1308.0000000000025
all,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,16915,1268.6250000000023
all,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,17122,1284.1499999999917
all,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,16604,1245.3000000000022
all,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,16164,1212.3000000000025
all,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,15792,1184.4000000000021
all,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,15577,1168.2749999999926
all,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,15066,1129.950000000002
all,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,14675,1100.625000000002
all,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,14408,1080.600000000002
all,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,14130,1059.750000000002
all,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,13734,1030.0499999999934
all,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,13859,1039.425000000002
all,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,13635,1022.6250000000019
all,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,13543,1015.7250000000018
all,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,13247,993.5249999999936
all,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,13094,982.0500000000018
all,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,12793,959.4750000000017
all,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,12813,960.9750000000018
all,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,12490,936.749999999994
all,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,12526,939.4500000000018
all,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,12567,942.5250000000018
0-5%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,2182,3273.0000000000064
0-5%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,2203,3304.4999999999927
0-5%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,2234,3351.0000000000064
0-5%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,2286,3428.9999999999923
0-5%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,2245,3367.5000000000064
0-5%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,2288,3431.999999999992
0-5%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,2397,3595.500000000007
0-5%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,2308,3461.999999999992
0-5%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,2400,3600.000000000007
0-5%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,2433,3649.500000000007
