observable,centrality,centrality_low,centrality_high,eta_abs_max,value,uncertainty_total,tolerance_relative,tolerance_sigma,source,derivation,measured_value,absolute_difference,relative_difference,sigma_difference,status,detail
dN_deta_midrapidity,0-5%,0,5,0.5,1943.0,56.0,0.3,3,ALICE Phys. Rev. Lett. 116 222302 Table 1 / arXiv:1512.06104,official combined row in source table comment,4298.881578947367,2355.8815789473674,1.2124969526234521,42.069313909774415,fail,Compared mean raw project dN/deta in |eta| < 0.5 to ALICE primary charged-particle reference.
dN_deta_midrapidity,5-10%,5,10,0.5,1587.0,48.0,0.3,3,ALICE Phys. Rev. Lett. 116 222302 Table 1 / arXiv:1512.06104,official combined row in source table comment,3995.8524027459966,2408.8524027459966,1.5178654081575278,50.184425057208266,fail,Compared mean raw project dN/deta in |eta| < 0.5 to ALICE primary charged-particle reference.
dN_deta_midrapidity,10-30%,10,30,0.5,983.0,18.4,0.3,3,ALICE Phys. Rev. Lett. 116 222302 Table 1 / arXiv:1512.06104,width-weighted average of 10-20 and 20-30 rows,2389.5810249307483,1406.5810249307483,1.4309064343140878,76.44462092014938,fail,Compared mean raw project dN/deta in |eta| < 0.5 to ALICE primary charged-particle reference.
dN_deta_midrapidity,30-50%,30,50,0.5,415.0,9.6,0.3,3,ALICE Phys. Rev. Lett. 116 222302 Table 1 / arXiv:1512.06104,width-weighted average of 30-40 and 40-50 rows,1206.732456140351,791.7324561403509,1.9077890509406046,82.47213084795322,fail,Compared mean raw project dN/deta in |eta| < 0.5 to ALICE primary charged-particle reference.
dN_deta_midrapidity,50-80%,50,80,0.5,108.1,3.4,0.3,3,ALICE Phys. Rev. Lett. 116 222302 Table 1 / arXiv:1512.06104,width-weighted average of 50-60 60-70 and 70-80 rows,515.7163742690058,407.61637426900575,3.770734267058333,119.88716890264875,fail,Compared mean raw project dN/deta in |eta| < 0.5 to ALICE primary charged-particle reference.
