centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
0-5%,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,122,2287.499999999995
0-5%,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,118,2212.4999999999995
0-5%,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,117,2193.7499999999995
0-5%,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,120,2249.9999999999995
0-5%,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,122,2287.4999999999995
0-5%,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,133,2493.7499999999995
0-5%,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,131,2456.2499999999995
0-5%,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,131,2456.2499999999995
0-5%,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,139,2606.2499999999995
0-5%,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,131,2456.2500000000045
0-5%,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,133,2493.7499999999945
0-5%,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,123,2306.2500000000045
0-5%,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,145,2718.7499999999936
0-5%,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,148,2775.0000000000055
0-5%,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,132,2474.9999999999945
0-5%,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,151,2831.2500000000055
0-5%,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,156,2924.999999999993
0-5%,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,130,2437.5000000000045
0-5%,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,143,2681.249999999994
0-5%,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,160,3000.0000000000055
0-5%,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,142,2662.499999999994
0-5%,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,142,2662.500000000005
0-5%,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,145,2718.750000000005
0-5%,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,131,2456.2499999999945
0-5%,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,146,2737.500000000005
0-5%,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,133,2493.7499999999945
0-5%,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,135,2531.250000000005
0-5%,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,139,2606.249999999994
0-5%,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,127,2381.2500000000045
0-5%,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,136,2550.000000000005
0-5%,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,150,2812.499999999982
0-5%,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,138,2587.500000000005
0-5%,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,153,2868.7500000000055
0-5%,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,127,2381.2500000000045
0-5%,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,144,2699.9999999999827
