centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_dpT_per_event,invariant_yield_proxy
all,0.1500146498681512,0.16130231600024067,0.15565848293419593,0.01128766613208948,953,4221.421810531477,2697.653122388973
all,0.16130231600024067,0.17343930856025905,0.16737081228024986,0.012136992560018378,965,3975.449417258845,2362.6895318115207
all,0.17343930856025905,0.1864895340610972,0.17996442131067814,0.013050225500838147,1002,3839.014122536223,2121.9405124334626
all,0.1864895340610972,0.20052170758188811,0.19350562082149264,0.01403217352079092,956,3406.457305361612,1751.0942197640722
all,0.20052170758188811,0.2156097145826055,0.2080657110822468,0.015088007000717385,877,2906.2817904256726,1389.4321851444065
all,0.2156097145826055,0.23183299994295248,0.22372135726277897,0.01622328536034698,741,2283.754441659379,1015.4115722488768
all,0.23183299994295248,0.24927698627399902,0.24055499310847575,0.017443986331046546,768,2201.3316951330244,910.2721589198474
all,0.24927698627399902,0.26803352370515915,0.2586552549895791,0.018756537431160125,755,2012.6316031703243,774.0038673301564
all,0.26803352370515915,0.2882013735148307,0.27811744860999493,0.020167849809671567,685,1698.2474742337324,607.3973456818362
all,0.2882013735148307,0.3098867281512226,0.29904405083302665,0.021685354636391874,688,1586.3240687920636,527.6633078609417
all,0.3098867281512226,0.33320377038150406,0.3215452492663633,0.02331704223028147,613,1314.4891919522852,406.6446577453028
all,0.33320377038150406,0.358275274513437,0.3457395224474705,0.02507150413193293,739,1473.7847320830558,424.0188601811146
all,0.358275274513437,0.38523325285518406,0.3717542636843105,0.02695797834174707,785,1455.9697133971479,389.5798910661995
all,0.38523325285518406,0.4142196508171827,0.3997264518361834,0.028986397961998644,743,1281.635615736177,318.9347404800853
all,0.4142196508171827,0.44538709431609724,0.42980337256664,0.031167443498914538,758,1216.0124715175928,281.4286835217458
all,0.44538709431609724,0.47889969341625277,0.462143393866175,0.03351259910015553,806,1202.5328110051892,258.8334103141606
all,0.47889969341625277,0.5149339064400723,0.4969167999281625,0.03603421302381954,852,1182.2098063260132,236.65246183528367
all,0.5149339064400723,0.5536794690974308,0.5343066877687516,0.03874556265735851,812,1047.8619283204368,195.08038335908648
all,0.5536794690974308,0.5953403935261936,0.5745099313118123,0.04166092442876279,808,969.7336425906996,167.90169139070665
all,0.5953403935261936,0.6401360425043214,0.6177382180152575,0.04479564897812782,726,810.3465588303909,130.4867667789524
all,0.6401360425043214,0.6883022844897307,0.664219163497026,0.04816624198540931,668,693.4317194627234,103.84664045613897
all,0.6883022844897307,0.7400927355696956,0.7141975100297131,0.05179045107996483,594,573.4647870539491,79.87089903969631
all,0.7400927355696956,0.7957800948591905,0.767936415214443,0.055687359289494975,608,545.9048586226415,70.71179249538994
all,0.7957800948591905,0.8556575803796235,0.825718837619407,0.05987748552043293,535,446.74554663574975,53.81807857287773
all,0.8556575803796235,0.9200404729784829,0.8878490266790532,0.06438289259885943,474,368.1102082142214,41.241921120178866
all,0.9200404729784829,0.9892677764193027,0.9546541246988929,0.06922730344081984,441,318.5159453574531,33.18832041212824
all,0.9892677764193027,1.0637040023830333,1.026485889401168,0.07443622596373056,387,259.9540714144802,25.190906098703344
all,1.0637040023830333,1.1437410897796292,1.1037225460813311,0.08003708739659587,360,224.89574003120924,20.26849321946762
all,1.1437410897796292,1.2298004684758532,1.186770779127741,0.08605937869622404,294,170.81229521640714,14.317013446640642
all,1.2298004684758532,1.322335278305715,1.276067873390784,0.09253480982986173,255,137.785985873237,10.74067120458337
all,1.322335278305715,1.421832755047601,1.372084016676658,0.09949747674188614,278,139.70203521903406,10.12796464851385
all,1.421832755047601,1.528816795931288,1.4753247754894445,0.10698404088368685,267,124.78496689533472,8.413462850223251
all,1.528816795931288,1.64385071818335,1.5863337570573188,0.115033922252062,255,110.83687098890914,6.950080577402645
all,1.64385071818335,1.7675402251358867,1.7056954716596184,0.12368950695253678,186,75.18826963687937,4.384789435622516
all,1.7675402251358867,1.9005365955164304,1.8340384103261584,0.13299637038054368,174,65.41531904296797,3.5478984930890367
all,1.9005365955164304,2.043540112712,1.9720383541142152,0.14300351719556947,146,51.04769549140969,2.5749033525253773
all,2.043540112712,2.1973037520638834,2.1204219323879414,0.15376363935188353,108,35.118835784331694,1.6474717323165082
all,2.1973037520638834,2.3626371456083386,2.279970448836111,0.1653333935444552,85,25.705635799807443,1.1215000080779072
all,2.3626371456083386,2.5404108451392786,2.4515239953738086,0.17777369953094002,56,15.750361315469409,0.6390789626092601
all,2.5404108451392786,2.7315609060398267,2.6359858755895527,0.1911500609005481,48,12.555580619190472,0.47379870692735515
all,2.7315609060398267,2.937093816018582,2.8343273610292044,0.20553290997875528,38,9.244261662019925,0.3244310182229448
all,2.937093816018582,3.158091794702536,3.047592805360559,0.220997978683954,26,5.882406743000629,0.1919986876156187
all,3.158091794702536,3.3957184919912633,3.2769051433469,0.23762669728872732,33,6.943664238177642,0.21077786019380843
all,3.3957184919912633,3.6512251151767177,3.5234718035839903,0.25550662318545436,22,4.305172156737351,0.12154017894179456
all,3.6512251151767177,3.9259570170905502,3.788591066133634,0.27473190191383257,14,2.5479385361644287,0.06689772755329636
all,3.9259570170905502,4.221360779968381,4.073658898529466,0.295403762877831,11,1.861858476824689,0.04546342540350597
all,4.221360779968381,4.53899183233066,4.3801763061495205,0.3176310523622785,7,1.1019073777484534,0.02502382235046674
all,4.53899183233066,4.880522638986277,4.7097572356584685,0.3415308066556175,9,1.317597098799223,0.027828144953223683
all,4.880522638986277,5.247751507282809,5.0641370731345425,0.36722886829653145,8,1.0892389856371705,0.021395275032668925
all,5.247751507282809,5.642612055972148,5.445181781627479,0.39486054868933973,3,0.379880949104424,0.006939613457948147
all,5.642612055972148,6.067183396549192,5.8548977262606705,0.42457134057704327,2,0.23553167734800007,0.004001567625225698
all,6.067183396549192,6.523701080672678,6.295442238610935,0.4565176841234866,12,1.314297388395806,0.020766702930439727
all,6.523701080672678,7.014568871311156,6.769134975991918,0.49086779063847796,2,0.20372084277505503,0.0029936597561479503
all,7.014568871311156,7.5423713995942165,7.278470135452686,0.5278025282830603,4,0.3789295982544822,0.005178674014222974
all,7.5423713995942165,8.109887774012758,7.8261295868034875,0.5675163744185419,3,0.2643095543343308,0.0033594329428860586
all,8.109887774012758,8.720106213626666,8.414996993819713,0.6102184396139076,2,0.1638757426984199,0.001937139321207157
all,8.720106213626666,9.376239782330039,9.048172997978352,0.6561335687033729,1,0.07620399623632756,0.000837754945603214
all,9.376239782330039,10.081743307021638,9.72899154467584,0.7055035246915988,2,0.1417427362162558,0.0014492160500779944
all,10.081743307021638,10.840331568762123,10.46103743789188,0.7585882617404849,6,0.39547145023268343,0.0037604561527680587
all,10.840331568762123,11.655998862702292,11.248165215732207,0.8156672939401695,6,0.36779701997222103,0.0032525701225684877
all,11.655998862702292,12.533040029773876,12.094519446238085,0.8770411670715834,2,0.11401973334261753,0.0009377596735117601
all,12.533040029773876,13.476073070883784,13.004556550328829,0.9430330411099082,3,0.1590612348253001,0.0012166592185772727
all,13.476073070883784,14.490063462685315,13.98306826678455,1.0139903918015314,2,0.09862026386890363,0.000701558403719911
all,14.490063462685315,15.580350302959474,15.035206882822393,1.0902868402741586,5,0.22929745711425456,0.001517015363612547
all,15.580350302959474,16.752674423272893,16.166512363116183,1.1723241203134194,0,0.0,0.0
all,16.752674423272893,18.013208616937977,17.382941520105433,1.2605341936650838,5,0.19832861437348956,0.0011349121816350296
all,18.013208616937977,19.368590141438276,18.690899379188124,1.3553815245002987,2,0.07377996393810071,0.0003926525191373831
all,19.368590141438276,20.82595566645856,20.09727290394842,1.4573655250202862,0,0.0,0.0
all,20.82595566645856,22.3929788515361,21.60946725899733,1.567023185077538,1,0.03190763255843336,0.0001468759439777542
all,22.3929788515361,24.07791075119548,23.235444801365787,1.6849318996593787,0,0.0,0.0
all,24.07791075119548,25.889623260317855,24.98376700575667,1.8117125091223762,1,0.027598197698718123,0.00010988108756693599
all,25.889623260317855,27.837655828502978,26.863639544410418,1.9480325681851234,1,0.025666922009718915,9.504058229544023e-05
all,27.837655828502978,29.93226568939542,28.884960758949198,2.0946098608924437,2,0.04774158752283985,0.00016440886203558783
all,29.93226568939542,32.18448186945411,31.058373779424766,2.2522161800586886,2,0.04440071112418444,0.00014220385262272373
all,32.18448186945411,34.60616326054479,33.39532256499945,2.4216813910906794,0,0.0,0.0
all,34.60616326054479,37.21006106213238,35.908112161338586,2.6038978015875927,3,0.057605947479407685,0.0001595786916415628
all,37.21006106213238,40.00988592185887,38.609973491995625,2.7998248597264848,1,0.017858259893043633,4.6008681176426955e-05
all,40.00988592185887,43.020380128030475,41.515133024944674,3.0104942061716073,0,0.0,0.0
all,43.020380128030475,46.257395234139,44.63888768108474,3.2370151061085224,0,0.0,0.0
all,46.257395234139,49.73797552414382,47.99768537914141,3.4805802900048235,2,0.028730841316078767,5.954265526715837e-05
0-5%,0.1500146498681512,0.16130231600024067,0.15565848293419593,0.01128766613208948,351,15547.943919166299,9935.742350037037
0-5%,0.16130231600024067,0.17343930856025905,0.16737081228024986,0.012136992560018378,313,12894.462876704854,7663.438585046695
0-5%,0.17343930856025905,0.1864895340610972,0.17996442131067814,0.013050225500838147,350,13409.729968938902,7411.967857801516
0-5%,0.1864895340610972,0.20052170758188811,0.19350562082149264,0.01403217352079092,315,11224.205556369328,5769.81882035233
0-5%,0.20052170758188811,0.2156097145826055,0.2080657110822468,0.015088007000717385,310,10273.059920546846,4911.333835744197
0-5%,0.2156097145826055,0.23183299994295248,0.22372135726277897,0.01622328536034698,233,7181.036233557833,3192.8595996489653
0-5%,0.23183299994295248,0.24927698627399902,0.24055499310847575,0.017443986331046546,278,7968.3621256117285,3294.99557525674
0-5%,0.24927698627399902,0.26803352370515915,0.2586552549895791,0.018756537431160125,269,7170.833129176387,2757.709143202808
0-5%,0.26803352370515915,0.2882013735148307,0.27811744860999493,0.020167849809671567,237,5875.68834150941,2101.5061449137984
0-5%,0.2882013735148307,0.3098867281512226,0.29904405083302665,0.021685354636391874,266,6133.171545039084,2040.0936030670132
0-5%,0.3098867281512226,0.33320377038150406,0.3215452492663633,0.02331704223028147,211,4524.587593832499,1399.7067338378286
0-5%,0.33320377038150406,0.358275274513437,0.3457395224474705,0.02507150413193293,262,5225.055477750482,1503.2874339303387
0-5%,0.358275274513437,0.38523325285518406,0.3717542636843105,0.02695797834174707,286,5304.552076835469,1419.3611317825864
0-5%,0.38523325285518406,0.4142196508171827,0.3997264518361834,0.028986397961998644,266,4588.359001155089,1141.8121260794437
0-5%,0.4142196508171827,0.44538709431609724,0.42980337256664,0.031167443498914538,250,4010.5952226833538,928.1948664965232
0-5%,0.44538709431609724,0.47889969341625277,0.462143393866175,0.03351259910015553,293,4371.490243480403,940.9204618120228
0-5%,0.47889969341625277,0.5149339064400723,0.4969167999281625,0.03603421302381954,294,4079.4563739418763,816.6176499949929
0-5%,0.5149339064400723,0.5536794690974308,0.5343066877687516,0.03874556265735851,317,4090.791025585942,761.5822847885519
0-5%,0.5536794690974308,0.5953403935261936,0.5745099313118123,0.04166092442876279,305,3660.5044677000415,633.7873251753158
0-5%,0.5953403935261936,0.6401360425043214,0.6177382180152575,0.04479564897812782,244,2723.4787927632974,438.5505660339447
0-5%,0.6401360425043214,0.6883022844897307,0.664219163497026,0.04816624198540931,220,2283.757159907173,342.009893717823
0-5%,0.6883022844897307,0.7400927355696956,0.7141975100297131,0.05179045107996483,211,2037.055051656284,283.7164932218169
0-5%,0.7400927355696956,0.7957800948591905,0.767936415214443,0.055687359289494975,231,2074.0793148327334,268.65829056636636
0-5%,0.7957800948591905,0.8556575803796235,0.825718837619407,0.05987748552043293,176,1469.6675926708779,177.04638932385947
0-5%,0.8556575803796235,0.9200404729784829,0.8878490266790532,0.06438289259885943,158,1227.034027380738,137.4730704005962
0-5%,0.9200404729784829,0.9892677764193027,0.9546541246988929,0.06922730344081984,162,1170.058574782481,121.91627906496088
0-5%,0.9892677764193027,1.0637040023830333,1.026485889401168,0.07443622596373056,153,1027.725398615387,99.5919543437109
0-5%,1.0637040023830333,1.1437410897796292,1.1037225460813311,0.08003708739659587,136,849.6061290067905,76.56986327354434
0-5%,1.1437410897796292,1.2298004684758532,1.186770779127741,0.08605937869622404,111,644.9035635721494,54.054030359765704
0-5%,1.2298004684758532,1.322335278305715,1.276067873390784,0.09253480982986173,94,507.91696753271674,39.59306247964065
0-5%,1.322335278305715,1.421832755047601,1.372084016676658,0.09949747674188614,89,447.2475228235263,32.42405948624937
0-5%,1.421832755047601,1.528816795931288,1.4753247754894445,0.10698404088368685,84,392.58191832240135,26.46932132654506
0-5%,1.528816795931288,1.64385071818335,1.5863337570573188,0.115033922252062,70,304.2580772244565,19.078652565419024
0-5%,1.64385071818335,1.7675402251358867,1.7056954716596184,0.12368950695253678,56,226.37328492823895,13.20151658036887
0-5%,1.7675402251358867,1.9005365955164304,1.8340384103261584,0.13299637038054368,57,214.29156238213645,11.622426098050294
0-5%,1.9005365955164304,2.043540112712,1.9720383541142152,0.14300351719556947,54,188.80654496822763,9.523615139477423
0-5%,2.043540112712,2.1973037520638834,2.1204219323879414,0.15376363935188353,47,152.83197054292495,7.169552909155175
0-5%,2.1973037520638834,2.3626371456083386,2.279970448836111,0.1653333935444552,39,117.94350543441061,5.1457059194162795
0-5%,2.3626371456083386,2.5404108451392786,2.4515239953738086,0.17777369953094002,16,45.0010323299126,1.8259398931693145
0-5%,2.5404108451392786,2.7315609060398267,2.6359858755895527,0.1911500609005481,18,47.08342732196427,1.7767451509775818
0-5%,2.7315609060398267,2.937093816018582,2.8343273610292044,0.20553290997875528,16,38.92320699797863,1.3660253398860833
0-5%,2.937093816018582,3.158091794702536,3.047592805360559,0.220997978683954,15,33.93696197884978,1.107684736243954
0-5%,3.158091794702536,3.3957184919912633,3.2769051433469,0.23762669728872732,11,23.14554746059214,0.7025928673126949
0-5%,3.3957184919912633,3.6512251151767177,3.5234718035839903,0.25550662318545436,13,25.43965365344798,0.7181919664742406
0-5%,3.6512251151767177,3.9259570170905502,3.788591066133634,0.27473190191383257,4,7.2798243890412255,0.19113636443798965
0-5%,3.9259570170905502,4.221360779968381,4.073658898529466,0.295403762877831,5,8.46299307647586,0.2066519336522999
0-5%,4.221360779968381,4.53899183233066,4.3801763061495205,0.3176310523622785,3,4.722460190350515,0.10724495293057171
0-5%,4.53899183233066,4.880522638986277,4.7097572356584685,0.3415308066556175,2,2.927993552887162,0.06184032211827486
0-5%,4.880522638986277,5.247751507282809,5.0641370731345425,0.36722886829653145,4,5.446194928185853,0.1069763751633446
0-5%,5.247751507282809,5.642612055972148,5.445181781627479,0.39486054868933973,1,1.26626983034808,0.023132044859827155
0-5%,5.642612055972148,6.067183396549192,5.8548977262606705,0.42457134057704327,0,0.0,0.0
0-5%,6.067183396549192,6.523701080672678,6.295442238610935,0.4565176841234866,4,4.380991294652687,0.06922234310146576
0-5%,6.523701080672678,7.014568871311156,6.769134975991918,0.49086779063847796,0,0.0,0.0
0-5%,7.014568871311156,7.5423713995942165,7.278470135452686,0.5278025282830603,0,0.0,0.0
0-5%,7.5423713995942165,8.109887774012758,7.8261295868034875,0.5675163744185419,1,0.8810318477811026,0.011198109809620195
0-5%,8.109887774012758,8.720106213626666,8.414996993819713,0.6102184396139076,1,0.8193787134920995,0.009685696606035786
0-5%,8.720106213626666,9.376239782330039,9.048172997978352,0.6561335687033729,1,0.7620399623632756,0.00837754945603214
0-5%,9.376239782330039,10.081743307021638,9.72899154467584,0.7055035246915988,1,0.708713681081279,0.007246080250389973
0-5%,10.081743307021638,10.840331568762123,10.46103743789188,0.7585882617404849,2,1.318238167442278,0.012534853842560196
0-5%,10.840331568762123,11.655998862702292,11.248165215732207,0.8156672939401695,4,2.4519801331481403,0.02168380081712325
0-5%,11.655998862702292,12.533040029773876,12.094519446238085,0.8770411670715834,1,0.5700986667130876,0.004688798367558799
0-5%,12.533040029773876,13.476073070883784,13.004556550328829,0.9430330411099082,1,0.5302041160843337,0.004055530728590909
0-5%,13.476073070883784,14.490063462685315,13.98306826678455,1.0139903918015314,0,0.0,0.0
0-5%,14.490063462685315,15.580350302959474,15.035206882822393,1.0902868402741586,1,0.4585949142285091,0.0030340307272250944
0-5%,15.580350302959474,16.752674423272893,16.166512363116183,1.1723241203134194,0,0.0,0.0
0-5%,16.752674423272893,18.013208616937977,17.382941520105433,1.2605341936650838,3,1.1899716862409373,0.006809473089810176
0-5%,18.013208616937977,19.368590141438276,18.690899379188124,1.3553815245002987,2,0.7377996393810071,0.003926525191373831
0-5%,19.368590141438276,20.82595566645856,20.09727290394842,1.4573655250202862,0,0.0,0.0
0-5%,20.82595566645856,22.3929788515361,21.60946725899733,1.567023185077538,0,0.0,0.0
0-5%,22.3929788515361,24.07791075119548,23.235444801365787,1.6849318996593787,0,0.0,0.0
0-5%,24.07791075119548,25.889623260317855,24.98376700575667,1.8117125091223762,1,0.27598197698718124,0.00109881087566936
0-5%,25.889623260317855,27.837655828502978,26.863639544410418,1.9480325681851234,1,0.2566692200971891,0.0009504058229544023
0-5%,27.837655828502978,29.93226568939542,28.884960758949198,2.0946098608924437,0,0.0,0.0
0-5%,29.93226568939542,32.18448186945411,31.058373779424766,2.2522161800586886,1,0.2220035556209222,0.0007110192631136187
0-5%,32.18448186945411,34.60616326054479,33.39532256499945,2.4216813910906794,0,0.0,0.0
0-5%,34.60616326054479,37.21006106213238,35.908112161338586,2.6038978015875927,1,0.19201982493135897,0.0005319289721385427
0-5%,37.21006106213238,40.00988592185887,38.609973491995625,2.7998248597264848,0,0.0,0.0
0-5%,40.00988592185887,43.020380128030475,41.515133024944674,3.0104942061716073,0,0.0,0.0
0-5%,43.020380128030475,46.257395234139,44.63888768108474,3.2370151061085224,0,0.0,0.0
0-5%,46.257395234139,49.73797552414382,47.99768537914141,3.4805802900048235,1,0.14365420658039382,0.00029771327633579183
5-10%,0.1500146498681512,0.16130231600024067,0.15565848293419593,0.01128766613208948,0,0.0,0.0
5-10%,0.16130231600024067,0.17343930856025905,0.16737081228024986,0.012136992560018378,0,0.0,0.0
5-10%,0.17343930856025905,0.1864895340610972,0.17996442131067814,0.013050225500838147,0,0.0,0.0
5-10%,0.1864895340610972,0.20052170758188811,0.19350562082149264,0.01403217352079092,0,0.0,0.0
5-10%,0.20052170758188811,0.2156097145826055,0.2080657110822468,0.015088007000717385,0,0.0,0.0
5-10%,0.2156097145826055,0.23183299994295248,0.22372135726277897,0.01622328536034698,0,0.0,0.0
5-10%,0.23183299994295248,0.24927698627399902,0.24055499310847575,0.017443986331046546,0,0.0,0.0
5-10%,0.24927698627399902,0.26803352370515915,0.2586552549895791,0.018756537431160125,0,0.0,0.0
5-10%,0.26803352370515915,0.2882013735148307,0.27811744860999493,0.020167849809671567,0,0.0,0.0
5-10%,0.2882013735148307,0.3098867281512226,0.29904405083302665,0.021685354636391874,0,0.0,0.0
5-10%,0.3098867281512226,0.33320377038150406,0.3215452492663633,0.02331704223028147,0,0.0,0.0
5-10%,0.33320377038150406,0.358275274513437,0.3457395224474705,0.02507150413193293,0,0.0,0.0
5-10%,0.358275274513437,0.38523325285518406,0.3717542636843105,0.02695797834174707,0,0.0,0.0
5-10%,0.38523325285518406,0.4142196508171827,0.3997264518361834,0.028986397961998644,0,0.0,0.0
