centrality,centrality_low,centrality_high,centrality_mid,events,total_tracks,mean_multiplicity,std_multiplicity,c2,v2_2,v2_events_used,v2_pairs_used
all,,,,20,22494,1124.7,2015.7172693609589,0.000550056805961551,0.023453289875016492,9,106538830
0-5%,0.0,5.0,2.5,2,7933,3966.5,3966.5,2.303394187255685e-06,0.0015176937066666927,1,62924556
5-10%,5.0,10.0,7.5,3,0,0.0,0.0,,,0,0
10-30%,10.0,30.0,20.0,4,3429,857.25,1484.80055478842,0.0014476248146262822,0.038047665035140885,1,11754612
30-50%,30.0,50.0,40.0,3,4390,1463.3333333333333,1040.415728874227,0.0005334935879794732,0.023097480121854704,2,9667038
50-80%,50.0,80.0,65.0,3,3678,1226.0,1733.8258274694144,0.001697671625223481,0.0412028108898347,1,13524006
