centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
all,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,285,427.5000000000008
all,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,317,475.4999999999989
all,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,368,552.000000000001
all,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,367,550.4999999999987
all,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,383,574.5000000000011
all,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,370,554.9999999999987
all,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,380,570.000000000001
all,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,369,553.4999999999987
all,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,385,577.5000000000011
all,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,363,544.500000000001
all,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,385,577.4999999999987
all,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,389,583.4999999999999
all,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,399,598.4999999999999
all,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,357,535.4999999999999
all,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,348,521.9999999999999
all,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,369,553.4999999999999
all,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,365,547.4999999999999
all,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,364,545.9999999999999
all,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,372,557.9999999999999
all,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,381,571.5000000000011
all,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,352,527.9999999999987
all,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,390,585.0000000000011
all,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,401,601.4999999999986
all,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,405,607.5000000000011
all,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,402,602.9999999999985
all,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,403,604.5000000000011
all,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,385,577.4999999999987
all,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,398,597.0000000000011
all,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,377,565.4999999999987
all,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,383,574.5000000000011
all,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,406,608.9999999999985
all,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,392,588.0000000000011
all,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,387,580.5000000000011
all,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,377,565.4999999999987
all,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,384,576.000000000001
all,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,354,530.9999999999987
all,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,387,580.5000000000011
all,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,406,608.9999999999985
all,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,390,585.0000000000011
all,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,382,573.000000000001
all,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,401,601.4999999999961
all,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,376,564.000000000001
all,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,382,573.000000000001
all,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,347,520.500000000001
all,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,368,551.9999999999965
all,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,394,591.0000000000011
all,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,389,583.5000000000011
all,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,372,558.0000000000011
all,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,391,586.5000000000011
all,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,361,541.4999999999965
all,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,395,592.5000000000011
all,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,418,627.0000000000011
all,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,373,559.500000000001
all,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,329,493.4999999999968
all,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,365,547.500000000001
all,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,344,516.0000000000009
all,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,354,531.000000000001
all,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,357,535.4999999999965
all,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,367,550.500000000001
all,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,334,501.0000000000009
0-5%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,106,1987.5000000000036
0-5%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,99,1856.2499999999957
0-5%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,128,2400.0000000000045
