centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
0-5%,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,543,1357.5000000000027
0-5%,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,602,1504.9999999999966
0-5%,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,582,1455.0000000000027
0-5%,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,575,1437.4999999999968
0-5%,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,621,1552.500000000003
0-5%,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,569,1422.5000000000025
0-5%,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,545,1362.499999999997
0-5%,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,610,1525.0000000000027
0-5%,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,575,1437.4999999999968
0-5%,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,580,1450.0000000000027
0-5%,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,544,1359.9999999999968
0-5%,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,537,1342.5000000000025
0-5%,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,518,1295.0000000000023
0-5%,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,546,1364.9999999999911
0-5%,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,540,1350.0000000000025
0-5%,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,574,1435.0000000000027
0-5%,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,501,1252.5000000000023
0-5%,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,539,1347.4999999999911
0-5%,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,546,1365.0000000000025
0-5%,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,477,1192.5000000000023
0-5%,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,475,1187.5000000000023
0-5%,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,481,1202.5000000000025
0-5%,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,436,1089.999999999993
0-5%,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,472,1180.0000000000023
0-5%,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,477,1192.5000000000023
