delta_eta_center,delta_phi_center,pair_counts
-1.538930917953226,-2.6616271092913526,112.0
-1.538930917953226,-2.574360646691636,111.0
-1.538930917953226,-2.4870941840919194,117.0
-1.538930917953226,-2.399827721492203,123.0
-1.538930917953226,-2.3125612588924866,111.0
-1.538930917953226,-2.2252947962927703,96.0
-1.538930917953226,-2.138028333693054,105.0
-1.538930917953226,-2.0507618710933375,113.0
-1.538930917953226,-1.9634954084936207,100.0
-1.538930917953226,-1.8762289458939043,110.0
-1.538930917953226,-1.7889624832941877,85.0
-1.538930917953226,-1.7016960206944713,110.0
-1.538930917953226,-1.6144295580947547,103.0
-1.538930917953226,-1.5271630954950384,104.0
-1.538930917953226,-1.439896632895322,96.0
-1.538930917953226,-1.3526301702956054,110.0
-1.538930917953226,-1.2653637076958888,93.0
-1.538930917953226,-1.1780972450961724,125.0
-1.538930917953226,-1.090830782496456,103.0
-1.538930917953226,-1.0035643198967397,114.0
-1.538930917953226,-0.9162978572970231,115.0
-1.538930917953226,-0.8290313946973065,137.0
-1.538930917953226,-0.7417649320975901,79.0
-1.538930917953226,-0.6544984694978737,82.0
-1.538930917953226,-0.5672320068981571,75.0
-1.538930917953226,-0.4799655442984405,81.0
-1.538930917953226,-0.39269908169872414,126.0
-1.538930917953226,-0.30543261909900776,109.0
-1.538930917953226,-0.21816615649929139,115.0
-1.538930917953226,-0.1308996938995748,95.0
-1.538930917953226,-0.04363323129985819,111.0
-1.538930917953226,0.04363323129985819,109.0
-1.538930917953226,0.13089969389957457,102.0
-1.538930917953226,0.21816615649929116,95.0
-1.538930917953226,0.30543261909900776,118.0
-1.538930917953226,0.39269908169872414,109.0
-1.538930917953226,0.4799655442984405,104.0
-1.538930917953226,0.5672320068981569,114.0
-1.538930917953226,0.6544984694978735,106.0
-1.538930917953226,0.7417649320975901,100.0
-1.538930917953226,0.8290313946973065,110.0
-1.538930917953226,0.9162978572970228,109.0
-1.538930917953226,1.0035643198967392,114.0
-1.538930917953226,1.0908307824964556,83.0
-1.538930917953226,1.178097245096172,114.0
-1.538930917953226,1.2653637076958888,113.0
-1.538930917953226,1.3526301702956056,102.0
-1.538930917953226,1.439896632895322,101.0
-1.538930917953226,1.5271630954950384,100.0
-1.538930917953226,1.6144295580947547,105.0
-1.538930917953226,1.7016960206944711,117.0
-1.538930917953226,1.7889624832941875,119.0
-1.538930917953226,1.8762289458939039,128.0
-1.538930917953226,1.9634954084936203,84.0
-1.538930917953226,2.050761871093337,120.0
-1.538930917953226,2.138028333693054,113.0
-1.538930917953226,2.2252947962927703,127.0
